GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2048-game,ar.edu.unrc.game2048.strategy,MoveProvider,0,42,0,0,0,8,0,3,0,3
2048-game,ar.edu.unrc.game2048.strategy,MoveRight,0,46,0,4,0,11,0,4,0,2
2048-game,ar.edu.unrc.game2048.strategy,MoveUp,0,42,0,4,0,9,0,4,0,2
2048-game,ar.edu.unrc.game2048.strategy,Move,0,152,0,14,0,28,0,15,0,8
2048-game,ar.edu.unrc.game2048.strategy,MoveDown,0,46,0,4,0,11,0,4,0,2
2048-game,ar.edu.unrc.game2048.strategy,MoveLeft,0,42,0,4,0,9,0,4,0,2
2048-game,ar.edu.unrc.game2048,Cell,0,138,1,25,0,21,1,22,0,10
2048-game,ar.edu.unrc.game2048,ScannerInputReader,0,14,0,0,0,6,0,3,0,3
2048-game,ar.edu.unrc.game2048,Score,0,20,0,0,0,6,0,4,0,4
2048-game,ar.edu.unrc.game2048,Board.Position,0,73,2,8,0,10,2,7,0,4
2048-game,ar.edu.unrc.game2048,Board.Direction,0,44,0,0,0,2,0,1,0,1
2048-game,ar.edu.unrc.game2048,Board,4,656,9,93,2,109,9,64,0,22
2048-game,ar.edu.unrc.game2048,MainCLI,0,159,0,13,0,44,0,14,0,6
